,x,y
188,243698,572109
189,243697,572109
190,243697,572109
191,243697,572109
192,243696,572108
193,243696,572108
194,243696,572108
195,243696,572108
196,243695,572107
197,243695,572107
198,243695,572107
199,243695,572107
200,243694,572107
201,243694,572106
202,243694,572106
203,243693,572106
204,243693,572106
205,243693,572105
206,243693,572105
207,243692,572105
208,243692,572105
209,243692,572104
210,243692,572104
211,243691,572104
212,243691,572104
213,243691,572103
214,243691,572103
215,243690,572103
216,243690,572103
217,243690,572102
218,243689,572102
219,243689,572102
220,243689,572102
221,243688,572101
222,243688,572101
223,243688,572101
224,243687,572100
225,243686,572099
226,243686,572099
227,243686,572099
228,243686,572099
229,243685,572098
230,243685,572098
231,243685,572098
232,243685,572098
233,243684,572098
234,243684,572097
235,243684,572097
236,243683,572097
237,243683,572097
238,243683,572096
239,243683,572096
240,243682,572096
241,243682,572096
242,243682,572095
243,243682,572095
244,243681,572095
245,243681,572095
246,243681,572094
247,243681,572094
248,243680,572094
249,243680,572094
250,243680,572093
251,243679,572093
252,243679,572093
253,243678,572092
254,243678,572092
255,243678,572092
256,243678,572091
257,243677,572091
258,243677,572091
259,243676,572090
260,243676,572090
261,243676,572090
262,243676,572090
263,243698,572110
264,243698,572110
265,243698,572110
266,243697,572109
267,243697,572109
268,243697,572109
269,243697,572109
270,243696,572108
271,243696,572108
272,243696,572108
273,243696,572108
274,243695,572108
275,243695,572107
276,243695,572107
277,243694,572107
278,243694,572107
279,243694,572106
280,243694,572106
281,243693,572106
282,243693,572106
283,243693,572105
284,243693,572105
285,243692,572105
286,243692,572105
287,243692,572104
288,243692,572104
289,243691,572104
290,243691,572104
291,243691,572103
292,243690,572103
293,243690,572103
294,243690,572103
295,243690,572102
296,243689,572102
297,243689,572102
298,243689,572102
299,243689,572101
300,243688,572101
301,243688,572101
302,243687,572100
303,243687,572100
304,243687,572100
305,243686,572099
306,243686,572099
307,243686,572099
308,243686,572099
309,243685,572099
310,243685,572098
311,243685,572098
312,243684,572098
313,243684,572098
314,243684,572097
315,243684,572097
316,243683,572097
317,243683,572097
318,243683,572096
319,243682,572096
320,243682,572096
321,243682,572095
322,243682,572095
323,243681,572095
324,243681,572095
325,243681,572094
326,243680,572094
327,243680,572094
328,243680,572094
329,243680,572093
330,243679,572093
331,243679,572093
332,243679,572093
333,243679,572092
334,243678,572092
335,243678,572092
336,243678,572092
337,243677,572091
338,243677,572091
339,243677,572091
340,243677,572091
341,243676,572090
342,243676,572090
343,243676,572090
344,243675,572089
345,243675,572089
346,243674,572089
347,243674,572088
348,243674,572088
349,243698,572111
350,243698,572110
351,243698,572110
352,243697,572110
353,243697,572110
354,243697,572109
355,243697,572109
356,243696,572109
357,243696,572109
358,243696,572108
359,243696,572108
360,243695,572108
361,243695,572108
362,243695,572107
363,243694,572107
364,243694,572107
365,243694,572107
366,243694,572106
367,243693,572106
368,243693,572106
369,243693,572106
370,243693,572105
371,243692,572105
372,243692,572105
373,243692,572105
374,243692,572104
375,243691,572104
376,243691,572104
377,243691,572104
378,243690,572104
379,243690,572103
380,243690,572103
381,243690,572103
382,243689,572103
383,243689,572102
384,243689,572102
385,243689,572102
386,243688,572102
387,243688,572101
388,243687,572101
389,243687,572101
390,243687,572100
391,243687,572100
392,243686,572100
393,243686,572100
394,243686,572099
395,243686,572099
396,243685,572099
397,243685,572099
398,243685,572098
399,243684,572098
400,243684,572098
401,243684,572098
402,243684,572097
403,243683,572097
404,243683,572097
405,243683,572097
406,243683,572096
407,243682,572096
408,243682,572096
409,243682,572096
410,243682,572095
411,243681,572095
412,243681,572095
413,243681,572095
414,243680,572094
415,243680,572094
416,243680,572094
417,243680,572094
418,243679,572093
419,243679,572093
420,243678,572093
421,243678,572092
422,243678,572092
423,243677,572092
424,243677,572092
425,243677,572091
426,243677,572091
427,243676,572091
428,243676,572091
429,243676,572090
430,243675,572090
431,243675,572090
432,243675,572089
433,243674,572089
434,243674,572089
435,243674,572089
436,243674,572088
437,243673,572088
438,243673,572088
439,243673,572088
440,243673,572087
441,243672,572087
442,243672,572087
443,243671,572086
444,243671,572086
445,243670,572085
446,243670,572085
447,243670,572085
448,243670,572085
449,243669,572084
450,243669,572084
451,243698,572111
452,243698,572110
453,243697,572110
454,243697,572110
455,243697,572110
456,243697,572109
457,243696,572109
458,243696,572109
459,243696,572109
460,243696,572108
461,243695,572108
462,243695,572108
463,243695,572108
464,243694,572107
465,243694,572107
466,243694,572107
467,243694,572107
468,243693,572106
469,243693,572106
470,243693,572106
471,243693,572106
472,243692,572105
473,243692,572105
474,243692,572105
475,243691,572105
476,243691,572105
477,243691,572104
478,243691,572104
479,243690,572104
480,243690,572104
481,243690,572103
482,243690,572103
483,243689,572103
484,243689,572103
485,243689,572102
486,243688,572102
487,243688,572102
488,243688,572101
489,243687,572101
490,243687,572101
491,243687,572101
492,243687,572100
493,243686,572100
494,243686,572100
495,243686,572099
496,243685,572099
497,243685,572099
